NO,TITLE,CONTEXT,PERTANYAAN1,PERTANYAAN2,PERTANYAAN3,PERTANYAAN4,PERTANYAAN5,PERTANYAAN6,PERTANYAAN7,PERTANYAAN8,PERTANYAAN9,PERTANYAAN10,PERTANYAAN11,PERTANYAAN12,PERTANYAAN13,PERTANYAAN14,PERTANYAAN15,PERTANYAAN16,PERTANYAAN17,PERTANYAAN18,PERTANYAAN19,PERTANYAAN20,PERTANYAAN21,PERTANYAAN22,PERTANYAAN23,PERTANYAAN24,PERTANYAAN25,PERTANYAAN26,PERTANYAAN27,PERTANYAAN28,PERTANYAAN29,PERTANYAAN30,PERTANYAAN31,PERTANYAAN32,PERTANYAAN33,PERTANYAAN34,PERTANYAAN35,PERTANYAAN36,PERTANYAAN37,PERTANYAAN38,PERTANYAAN39,PERTANYAAN40,PERTANYAAN41,PERTANYAAN42,PERTANYAAN43,PERTANYAAN44,PERTANYAAN45,PERTANYAAN46,PERTANYAAN47,PERTANYAAN48,PERTANYAAN49,PERTANYAAN50,PERTANYAAN51,PERTANYAAN52,PERTANYAAN53,PERTANYAAN54,PERTANYAAN55,PERTANYAAN56,PERTANYAAN57,PERTANYAAN58,PERTANYAAN59,PERTANYAAN60
61,"Jika tahapan Peserta Kelas Kuliah gagal, harus bagaimana?",Menu ini digunakan untuk unggah KRS mahasiswa dan merupakan aliran data dari proses sebelumnya.,"Jika tahapan Peserta Kelas Kuliah gagal, harus bagaimana?",Apa fungsi utama dari menu Peserta Kelas Kuliah?,Menu apa yang digunakan untuk mengunggah KRS mahasiswa?,Dari mana asal aliran data untuk menu Peserta Kelas Kuliah?,Apa yang harus diunggah pada menu Peserta Kelas Kuliah?,Proses apa yang mendahului tahapan unggah KRS mahasiswa?,Apakah aliran data pada menu Peserta Kelas Kuliah berasal dari proses sebelumnya?,Di mana saya bisa melakukan unggah KRS mahasiswa?,Apa kaitan menu Peserta Kelas Kuliah dengan proses sebelumnya?,Apa kegunaan dari menu tahapan Peserta Kelas Kuliah?,Data apa yang dialirkan ke dalam menu Peserta Kelas Kuliah?,Andi mau tanya sebenarnya menu Peserta Kelas Kuliah itu fungsinya buat apa ya?,"Budi lagi mau unggah KRS mahasiswa tapi tahapannya malah gagal, kira-kira harus gimana ya?","Citra sudah selesai di proses sebelumnya, tapi pas masuk ke Peserta Kelas Kuliah datanya tidak mengalir. Bagaimana solusinya ini?",Dedi bingung kenapa unggah KRS mahasiswa jadi macet padahal ini aliran data dari tahap sebelumnya. Bantuin dong harus gimana?,Euis ingin memastikan apakah menu Peserta Kelas Kuliah ini memang khusus buat upload KRS saja? Tolong bantu konfirmasinya.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Jika tahapan Substansi Kuliah gagal, harus bagaimana?","Untuk tahapan Substansi Kuliah, diupayakan semua data dapat masuk. Jika terdapat error atau keterangan “sudah ada”, maka dapat diabaikan.","Jika tahapan Substansi Kuliah gagal, harus bagaimana?",Apa yang menjadi target utama pada tahapan Substansi Kuliah?,Apa yang harus dilakukan jika muncul keterangan sudah ada pada tahapan Substansi Kuliah?,Bagaimana jika terdapat error saat memasukkan data di tahapan Substansi Kuliah?,Apakah peringatan error pada tahapan Substansi Kuliah bisa diabaikan?,Apa instruksi khusus terkait data pada tahapan Substansi Kuliah?,Tindakan apa yang perlu diambil jika sistem menampilkan pesan sudah ada?,Apakah semua data diupayakan masuk pada tahapan Substansi Kuliah?,Apa yang harus dipastikan saat mengunggah data di tahapan Substansi Kuliah?,Bolehkah mengabaikan error yang muncul di tahapan Substansi Kuliah?,Pesan apa saja yang bisa diabaikan pada tahapan Substansi Kuliah?,Fery mau tahu prinsip dasar penginputan data di tahapan Substansi Kuliah itu seperti apa sih?,"Gita melihat ada keterangan 'sudah ada' pas lagi input Substansi Kuliah, ini harus dihapus atau diabaikan saja?",Heri mengalami error saat proses Substansi Kuliah berlangsung. Apa yang harus dilakukan supaya semua data tetap bisa masuk?,Iwan mendapati notifikasi error 'sudah ada' yang muncul terus-menerus. Bagaimana cara mengatasi masalah ini?,"Joni mau memastikan, kalau ada kendala 'sudah ada' di Substansi Kuliah, beneran boleh diabaikan saja ya? Tolong bantu jawab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Jika tahapan Dosen Mengajar gagal, harus bagaimana?","Jika terjadi kendala pada tahapan Dosen Mengajar, silakan perhatikan: 
 1. Jika tidak ada centang karena belum ada NIDN, pensiun, atau non aktif, maka abaikan 
 2. Jika tidak ada centang karena ID Kelas kosong, kembali ke proses sebelumnya 
 3. Jika tidak ada centang padahal aktif dan memiliki NIDN, isikan di sheet Dosen Mengajar","Jika tahapan Dosen Mengajar gagal, harus bagaimana?",Apa langkah yang harus diperhatikan jika tahapan Dosen Mengajar mengalami kendala?,Bagaimana jika tidak ada centang karena dosen belum memiliki NIDN?,Apa yang harus dilakukan jika ID Kelas kosong pada tahapan Dosen Mengajar?,Ke mana saya harus mengisi data jika dosen aktif dan memiliki NIDN tetapi tidak ada centang?,Apakah saya perlu mengabaikan status dosen yang sudah pensiun di tahapan Dosen Mengajar?,Apa yang harus dilakukan jika dosen berstatus non aktif pada tahapan Dosen Mengajar?,Harus kembali ke mana jika ID Kelas kosong pada tahapan Dosen Mengajar?,Bagaimana cara mengatasi kendala tidak ada centang padahal dosen tersebut aktif dan punya NIDN?,Di sheet mana saya harus mengisi data dosen yang aktif dan memiliki NIDN?,Apa solusinya jika tidak ada centang akibat ID Kelas yang kosong?,Karin bingung apa saja yang harus diperhatikan kalau ada kendala di bagian Dosen Mengajar?,Lutfi melihat dosen yang belum punya NIDN tidak ada centangnya di sistem. Apakah ini masalah besar atau bisa diabaikan?,Maman menemukan ID Kelas kosong sehingga centangnya hilang. Harus balik ke proses mana ini biar benar?,Nana punya dosen aktif yang punya NIDN tapi kok tidak ada centangnya ya? Harus diisi di bagian mana ini?,Oki mau lapor ada dosen aktif ber-NIDN tapi gagal dapat centang. Sheet mana yang harus saya isi? Bantuin dong.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Jika tahapan Nilai Mata Kuliah gagal, harus bagaimana?","Jika terjadi kendala pada tahapan Nilai Mata Kuliah, silakan perhatikan: 
 1. Menu ini digunakan untuk unggah nilai dan merupakan aliran dari proses sebelumnya 
 2. Pastikan nilai sudah dipublish dengan rentang A - T, kecuali MBKM tidak diperkenankan update nilai lampau","Jika tahapan Nilai Mata Kuliah gagal, harus bagaimana?",Apa fungsi dari menu Nilai Mata Kuliah?,Menu apa yang merupakan aliran dari proses sebelumnya untuk mengunggah nilai?,Apa yang harus diperhatikan pertama kali jika terjadi kendala pada tahapan Nilai Mata Kuliah?,Berapa rentang nilai yang harus dipastikan sudah dipublish?,Apakah saya bisa mengubah nilai yang sudah lampau untuk program MBKM?,Apa syarat utama agar nilai bisa berhasil diunggah tanpa kendala?,Pengecualian apa yang berlaku pada aturan update nilai lampau?,Apakah menu Nilai Mata Kuliah berdiri sendiri atau merupakan lanjutan dari tahapan lain?,Huruf apa saja yang menjadi batas rentang nilai yang diperbolehkan?,Mengapa proses update nilai lampau saya ditolak oleh sistem?,"Budi sedang mencoba mengunggah nilai hasil dari proses sebelumnya namun gagal terus, sebenarnya menu Nilai Mata Kuliah ini fungsinya untuk apa dan gimana solusinya?","Andi baru sadar nilai yang dimasukkannya di luar rentang A sampai T sehingga sistem error, gimana sih ini cara memperbaikinya?","Roni kesulitan saat ingin melakukan update nilai lampau untuk mahasiswa program MBKM yang ternyata tidak diperbolehkan, apa yang harus dilakukan?","Siska sudah memastikan nilai dalam rentang A-T tapi proses unggah nilai sebagai aliran proses sebelumnya tetap macet, bantuin dong gimana langkahnya.","Nilai yang dipublish Joko ditolak sistem karena ada aturan khusus mengenai update nilai lampau pada program MBKM, gimana sih ini solusinya?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Jika tahapan Rekap Error gagal, harus bagaimana?","Jika terjadi kendala pada Rekap Error, silakan perhatikan: 
 1. Jika error karena SKS tidak sesuai, cek di menu Evaluasi Studi > forlap1, jika sudah sesuai maka abaikan 
 2. Jika sudah hijau namun masih muncul data, cek forlap1, jika sudah masuk maka abaikan 
 3. Jika ada perbedaan mata kuliah atau SKS, isi di sheet Rekap Nilai 
 4. Jika error JSON, pastikan kolom status dan jenis biaya sudah terisi","Jika tahapan Rekap Error gagal, harus bagaimana?",Apa penyebab terjadinya error JSON pada tahapan Rekap Error?,Di menu mana saya bisa melihat kecocokan SKS jika terjadi error?,Apa langkah selanjutnya jika error SKS tidak sesuai namun di forlap1 sudah benar?,Bagaimana jika status indikator sudah hijau tapi data masih terus muncul?,"Jika saya menemukan perbedaan mata kuliah, di mana saya harus mencatatnya?",Sheet apa yang digunakan khusus untuk mengisi perbedaan SKS?,Apa yang harus dipastikan terisi untuk menyelesaikan error JSON?,Kolom apa saja yang wajib dicek selain jenis biaya saat terjadi error JSON?,Kapan saya diperbolehkan mengabaikan data yang masih muncul meski indikator sudah berwarna hijau?,Bagaimana cara mengatasi error yang muncul karena jumlah SKS tidak sesuai?,"Ani menemukan error SKS tidak sesuai pada tahapan Rekap Error, setelah dicek di menu Evaluasi Studi forlap1 ternyata sudah sesuai, gimana sih ini kelanjutannya?","Indikator sudah berwarna hijau tapi data milik Budi masih saja muncul di sistem, tolong bantuin dong harus cek ke mana lagi.","Roni melihat ada perbedaan mata kuliah dan jumlah SKS pada laporannya, di sheet mana saya harus mengisi data yang benar agar tidak error?","Muncul notifikasi error JSON saat Tono sedang melakukan rekap, bagian kolom status dan jenis biaya harus dipastikan seperti apa?","Siti bingung karena sudah masuk forlap1 dan indikator sudah hijau tapi data tetap muncul di rekap error, apa solusinya biar masalah ini selesai?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Di mana melihat hasil pelaporan PDDikti?,"Untuk melihat hasil pelaporan PDDikti, silakan akses https://pddikti.kemdiktisaintek.go.id/ profil Prodi",Di mana melihat hasil pelaporan PDDikti?,Apa itu tautan untuk melihat hasil pelaporan PDDikti?,Apa yang dimaksud dengan profil Prodi pada pengecekan hasil pelaporan?,Di mana saya bisa mengecek hasil laporan PDDikti?,Alamat web apa yang harus diakses untuk melihat hasil PDDikti?,Profil apa yang perlu dibuka untuk mengecek pelaporan PDDikti?,Bagaimana cara mengetahui hasil pelaporan PDDikti?,Link apa yang dipakai untuk melihat pelaporan PDDikti?,Ke mana saya harus pergi untuk mengecek hasil laporan PDDikti?,Apakah ada situs khusus untuk melihat hasil pelaporan PDDikti?,Situs apa yang menampilkan hasil pelaporan PDDikti?,"Pak Bambang ingin memvalidasi hasil pelaporan prodinya melalui website resmi, apa alamat link yang harus diakses untuk melihat profil Prodi?","Bu Retno sudah menyelesaikan pelaporan PDDikti tapi tidak tahu di mana harus melihat hasilnya, gimana sih ini caranya biar bisa cek di website Kemdiktisaintek?","Andi perlu mengecek profil Prodi untuk melihat status akhir pelaporan di PDDikti, tolong bantuin dong kasih tahu alamat websitenya.","Hasil pelaporan PDDikti milik kampus Siska belum terlihat, di mana link resmi untuk mengecek profil Prodi tersebut?","Roni ingin memastikan data yang dilaporkan sudah masuk di portal PDDikti Kemdiktisaintek, bagaimanakah cara melihat hasil laporannya?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Jika SKS di feeder tercatat 0, harus bagaimana?","Jika SKS di feeder tercatat 0, silakan isi Google Sheet http://ugm.id/PelaporanPDDikti dengan melampirkan data Kurikulum, Mata Kuliah, Prodi, dan SKS","Jika SKS di feeder tercatat 0, harus bagaimana?",Apa yang dimaksud dengan langkah perbaikan jika SKS di feeder tercatat 0?,Apa definisi dari data yang harus disiapkan saat SKS di feeder 0?,Apa yang harus dilakukan jika SKS di feeder tercatat 0?,Ke mana saya harus melapor jika jumlah SKS di feeder bernilai 0?,Tautan apa yang harus diisi ketika menemukan SKS 0 di feeder?,Data apa saja yang perlu dilampirkan saat mengisi Google Sheet untuk SKS 0?,Apakah saya perlu melampirkan data Kurikulum jika SKS di feeder 0?,Di mana saya bisa menemukan form untuk memperbaiki SKS feeder yang 0?,Dokumen apa yang diminta saat melaporkan SKS 0 di feeder PDDikti?,Link Google Sheet apa yang dipakai untuk mengurus SKS 0 di feeder?,Apa yang harus Andi lakukan jika menemukan SKS di feeder miliknya tercatat 0?,"Budi melihat SKS di feeder tercatat 0, apa link Google Sheet yang harus dia isi untuk melapor?","SKS di feeder punyaku tercatat 0, dokumen apa saja seperti kurikulum dan prodi yang harus dilampirkan?","Andi mau lapor SKS feeder yang 0 ke link ugm.id/PelaporanPDDikti, selain data kurikulum harus bawa apa lagi ya?","SKS di sistem feeder kok tercatat 0, gimana sih ini solusinya tolong bantu dong?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Jika SKS Simaster dan Feeder berbeda, harus bagaimana?","Jika terdapat perbedaan jumlah SKS antara Simaster dan Feeder, silakan isi Google Sheet http://ugm.id/PelaporanPDDikti dengan melampirkan data Kurikulum, Mata Kuliah, Prodi, SKS, dan NIU","Jika SKS Simaster dan Feeder berbeda, harus bagaimana?",Apa definisi prosedur jika SKS Simaster dan Feeder tidak sama?,Apa yang dimaksud dengan perbaikan perbedaan SKS antara Simaster dan Feeder?,Apa yang harus dilakukan jika jumlah SKS di Simaster berbeda dengan di Feeder?,Link apa yang perlu diisi saat ada selisih SKS antara Simaster dan Feeder?,Data apa yang wajib dilampirkan jika terjadi perbedaan SKS di Simaster dan Feeder?,Ke mana laporan perbedaan SKS Simaster dan Feeder harus dikirimkan?,Apakah data NIU diperlukan saat melaporkan perbedaan SKS Simaster dan Feeder?,Bagaimana cara mengatasi ketidaksesuaian data SKS antara Simaster dan Feeder?,Informasi apa saja yang diminta di Google Sheet saat SKS Simaster dan Feeder beda?,Apa solusi untuk SKS mahasiswa yang berbeda antara sistem Simaster dan Feeder?,Apa yang dimaksud dengan prosedur pelaporan jika jumlah SKS Simaster dan Feeder milik Siti berbeda?,"Budi mendapati perbedaan SKS antara Simaster dan Feeder, lapornya harus lewat mana dan lampirannya apa saja?","Iwan bingung jumlah SKS di Simaster dan Feeder miliknya tidak sama, NIU perlu dilampirkan juga tidak ya?","Data SKS di Simaster beda sama yang di Feeder, tolong bantu solusinya gimana biar datanya benar?","Roni mau isi Google Sheet pelaporan karena SKS Simaster dan Feeder beda, link aslinya yang mana ya?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Jika data sudah bersih tapi belum 100%, kenapa?","Jika persentase belum 100%, kemungkinan masih ada: 
 1. Data tagihan mahasiswa yang belum melakukan KRS atau belum di-approve 
 2. Data mahasiswa yang belum terminasi dan tidak melakukan aktivitas","Jika data sudah bersih tapi belum 100%, kenapa?",Apa yang dimaksud dengan kondisi data bersih tapi belum 100%?,Apa definisi mahasiswa belum terminasi dalam konteks persentase pelaporan?,Apa penyebab persentase data belum mencapai 100%?,Mengapa data yang sudah bersih bisa belum mencapai persentase 100%?,Apa saja dua kemungkinan penyebab persentase pelaporan tidak 100%?,Apakah data tagihan mahasiswa berpengaruh pada persentase kelengkapan data?,Bagaimana status KRS mahasiswa bisa membuat persentase data tidak 100%?,Apa hubungannya mahasiswa yang belum terminasi dengan persentase data?,Apakah aktivitas mahasiswa mempengaruhi pencapaian 100% data?,Mengapa data tagihan yang KRS-nya belum di-approve menyebabkan persentase tidak penuh?,Apa penyebab utama jika data sudah dianggap bersih namun persentase progres belum mencapai 100%?,"Joko melihat data sudah bersih tapi persentase belum 100%, apakah ini karena ada mahasiswa yang belum KRS?","Persentase data belum 100% padahal sudah bersih, apa ada hubungannya dengan mahasiswa yang belum terminasi?","Siti bingung datanya belum 100%, apa mungkin karena ada tagihan mahasiswa yang belum di-approve ya?","Data sudah bersih tapi kenapa ya kok di sistem belum 100%, tolong bantu jelasin penyebabnya dong.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bagaimana cara cek data di PDDikti?,"Untuk mengecek data di PDDikti, silakan: 
 1. Kunjungi https://pddikti.kemdiktisaintek.go.id/
 2. Masukkan NIM pada kolom pencarian 
 3. Klik nama mahasiswa yang muncul",Bagaimana cara cek data di PDDikti?,Apa arti pengecekan data di PDDikti?,Apa yang dimaksud dengan langkah pencarian NIM pada situs PDDikti?,Bagaimana langkah-langkah mengecek data di PDDikti?,Situs apa yang harus dikunjungi untuk mengecek data mahasiswa di PDDikti?,Data apa yang harus dimasukkan pada kolom pencarian PDDikti?,Apa yang harus diklik setelah memasukkan NIM di pencarian PDDikti?,Di mana saya harus memasukkan NIM untuk mencari data PDDikti?,Apa langkah pertama untuk melihat data diri di PDDikti?,Kolom apa yang dipakai untuk mencari data di web PDDikti?,Bagaimana cara menemukan nama mahasiswa di situs PDDikti?,Andi ingin memastikan namanya sudah masuk ke sistem pusat tapi dia bingung harus membuka alamat website yang mana. Tolong bantu arahannya gimana sih ini.,"Budi sudah berada di depan laptop dan ingin mencari profil kuliahnya, data apa yang harus dia masukkan ke dalam kolom pencarian di situs resmi? Bantuin dong.","Siti sudah memasukkan NIM dan melihat namanya muncul di daftar pencarian, lalu langkah apa yang harus dia lakukan agar bisa melihat detail datanya? Tolong bantu ya.",Roni mau memverifikasi status mahasiswanya secara mandiri di portal PDDikti tapi tidak tahu urutan kliknya dari awal sampai akhir. Bagaimana solusinya ini?,"Maya perlu mengecek kevalidan datanya di pangkalan data pendidikan tinggi, apa saja tahapan yang harus dia lalui agar profilnya terbuka? Tolong bantu informasinya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
