NO,TITLE,CONTEXT,PERTANYAAN1,PERTANYAAN2,PERTANYAAN3,PERTANYAAN4,PERTANYAAN5,PERTANYAAN6,PERTANYAAN7,PERTANYAAN8,PERTANYAAN9,PERTANYAAN10,PERTANYAAN11,PERTANYAAN12,PERTANYAAN13,PERTANYAAN14,PERTANYAAN15,PERTANYAAN16,PERTANYAAN17,PERTANYAAN18,PERTANYAAN19,PERTANYAAN20,PERTANYAAN21,PERTANYAAN22,PERTANYAAN23,PERTANYAAN24,PERTANYAAN25,PERTANYAAN26,PERTANYAAN27,PERTANYAAN28,PERTANYAAN29,PERTANYAAN30,PERTANYAAN31,PERTANYAAN32,PERTANYAAN33,PERTANYAAN34,PERTANYAAN35,PERTANYAAN36,PERTANYAAN37,PERTANYAAN38,PERTANYAAN39,PERTANYAAN40,PERTANYAAN41,PERTANYAAN42,PERTANYAAN43,PERTANYAAN44,PERTANYAAN45,PERTANYAAN46,PERTANYAAN47,PERTANYAAN48,PERTANYAAN49,PERTANYAAN50,PERTANYAAN51,PERTANYAAN52,PERTANYAAN53,PERTANYAAN54,PERTANYAAN55,PERTANYAAN56,PERTANYAAN57,PERTANYAAN58,PERTANYAAN59,PERTANYAAN60,PERTANYAAN61,PERTANYAAN62,PERTANYAAN63,PERTANYAAN64,PERTANYAAN65,PERTANYAAN66,PERTANYAAN67,PERTANYAAN68,PERTANYAAN69,PERTANYAAN70,PERTANYAAN71,PERTANYAAN72,PERTANYAAN73,PERTANYAAN74,PERTANYAAN75,PERTANYAAN76,PERTANYAAN77,PERTANYAAN78,PERTANYAAN79,PERTANYAAN80,PERTANYAAN81,PERTANYAAN82,PERTANYAAN83,PERTANYAAN84,PERTANYAAN85,PERTANYAAN86,PERTANYAAN87,PERTANYAAN88,PERTANYAAN89,PERTANYAAN90,PERTANYAAN91,PERTANYAAN92,PERTANYAAN93,PERTANYAAN94,PERTANYAAN95,PERTANYAAN96,PERTANYAAN97,PERTANYAAN98,PERTANYAAN99,PERTANYAAN100,PERTANYAAN101,,,,,,,,,,,,,,,,,,,
1,UGM menerima mahasiswa baru lewat jalur apa saja?,"UGM menerima mahasiswa baru melalui 3 jalur, yaitu: 
 1. SNBP 
 2. SNBT 
 3. Seleksi Mandiri",UGM menerima mahasiswa baru lewat jalur apa saja?,Apa saja jalur masuk penerimaan mahasiswa baru di UGM?,Sebutkan tiga jalur utama seleksi mahasiswa baru UGM!,Jalur apa yang bisa saya ambil untuk mendaftar kuliah di UGM?,Apakah ada pilihan seleksi masuk UGM selain SNBT dan Mandiri?,Bagaimana cara menjadi mahasiswa baru di kampus UGM?,Sebutkan pilihan jalur pendaftaran untuk calon mahasiswa sarjana UGM.,Apa nama jalur penerimaan mahasiswa baru yang tersedia saat ini di UGM?,Adakah opsi selain SNBP untuk mendaftar ke kampus UGM?,Lewat jalur seleksi apa saja calon mahasiswa bisa diterima di UGM?,Apa tiga pintu masuk pendaftaran mahasiswa baru di UGM?,Saya ingin kuliah di UGM tahun depan tapi bingung apa saja opsi yang tersedia. Apa saja pilihan jalur pendaftarannya?,Nilai rapor saya kurang bagus untuk ikut SNBP. Lewat jalur apa lagi saya bisa mencoba masuk UGM?,Rina bertekad masuk UGM dan ingin mencoba semua kesempatan. Pilihan jalur seleksi apa saja yang bisa dia ikuti?,Kakak saya menyarankan untuk mendaftar ke UGM. Saya harus mengikuti jalur seleksi apa saja yang dibuka oleh kampus tersebut?,Andi sedang mendata kampus impian dan cara masuknya. Apa tiga pilihan jalur penerimaan di UGM yang bisa Andi pertimbangkan?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Seleksi Mandiri UGM terdiri dari jalur apa saja?,"Untuk Seleksi Mandiri UGM, terdiri dari 3 jalur, yaitu: 
1. Penelusuran Bibit Unggul (PBU)
2. Afirmasi Tridharma UGM
3. UM UGM Computer Based Test ( UM UGM CBT)",Seleksi Mandiri UGM terdiri dari jalur apa saja?,Apa saja jenis jalur yang ada di dalam Seleksi Mandiri UGM?,Sebutkan tiga pembagian jalur pada Seleksi Mandiri UGM!,Apakah PBU termasuk dalam salah satu jalur Seleksi Mandiri UGM?,Jalur tes mandiri berbasis komputer di UGM disebut dengan istilah apa?,Apa nama jalur mandiri UGM yang khusus menggunakan skema afirmasi?,Sebutkan macam-macam jalur penerimaan dari skema Seleksi Mandiri UGM.,Apakah ada jalur tes selain Afirmasi di Seleksi Mandiri UGM?,Apa nama jalur ujian mandiri UGM yang pelaksanaannya menggunakan sistem komputer?,Berapa banyak opsi jalur pilihan yang tersedia dalam Seleksi Mandiri UGM?,Apa sebutan jalur unggulan dalam Seleksi Mandiri UGM?,Budi gagal di jalur SNBT dan berniat mendaftar mandiri UGM. Apa saja opsi jalur yang ada di Seleksi Mandiri tersebut?,Saya punya prestasi juara lomba dan ingin mendaftar jalur mandiri UGM. Jalur apa saja yang masuk dalam kategori seleksi mandiri?,Siska berencana ikut tes ujian mandiri UGM tahun ini. Pilihan jalur apa saja yang dibuka di bawah skema Seleksi Mandiri?,Anton berasal dari daerah pedalaman dan ingin kuliah di UGM lewat mandiri. Sebutkan jenis jalur Seleksi Mandiri yang bisa Anton pilih!,"Saya lebih nyaman mengerjakan ujian tertulis di depan komputer. Di dalam Seleksi Mandiri UGM, apa saja jenis jalur yang bisa saya ikuti?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Kapan pendaftaran UGM dibuka?,"Jadwal pendaftaran UGM berbeda tiap jalur, yaitu: 
 1. SNBP dan SNBT dapat dilihat di https://portal-snpmb.bppp.kemdikbud.go.id/ 
 2. Seleksi Mandiri dapat dipantau di admissions.ugm.ac.id",Kapan pendaftaran UGM dibuka?,Kapan jadwal pendaftaran untuk calon mahasiswa baru UGM dibuka?,Di mana saya bisa mengecek jadwal resmi pendaftaran SNBP dan SNBT UGM?,Website apa yang memuat informasi mengenai jadwal Seleksi Mandiri UGM?,Bagaimana cara mengetahui kapan pendaftaran Seleksi Mandiri UGM dimulai?,Apakah jadwal pendaftaran untuk semua jalur masuk di UGM pelaksanaannya sama?,Ke alamat situs mana saya harus pergi untuk melihat jadwal SNBT?,Di mana saya bisa memantau pembukaan pendaftaran untuk ujian mandiri UGM?,Link web apa yang dipakai untuk mengecek tanggal daftar SNBP UGM?,Di mana jadwal pasti pendaftaran jalur nasional SNBT UGM diumumkan?,Situs web apa yang harus dikunjungi untuk tahu jadwal masuk jalur mandiri UGM?,Saya ingin bersiap untuk ikut SNBT UGM tapi belum tahu tanggalnya. Di situs mana saya harus mengecek informasi jadwal tersebut?,Rani berniat mendaftar ujian mandiri UGM bulan depan. Di mana Rani bisa memantau jadwal pasti dari pembukaannya?,Dimas bingung mencari tahu kapan pendaftaran jalur SNBP UGM dibuka. Website mana yang perlu Dimas kunjungi?,"Banyak yang bilang pendaftaran mandiri UGM sudah buka, tapi saya ingin mengecek jadwal resminya sendiri. Ke link mana saya harus pergi?",Tika takut tertinggal info jadwal daftar SNBP UGM karena pihak sekolahnya tidak mengumumkan. Di portal apa Tika bisa mendapat info itu?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Apakah tanpa alumni peluang lolos jadi kecil?,"Peluang lolos tidak ditentukan oleh faktor alumni, sehingga semua peserta memiliki kesempatan yang sama.",Apakah tanpa alumni peluang lolos jadi kecil?,Apakah sekolah tanpa alumni di UGM membuat peluang siswa diterima menjadi kecil?,Apakah faktor rekam jejak alumni sangat menentukan kelulusan calon mahasiswa di UGM?,Bagaimana jika SMA saya tidak memiliki alumni yang sedang berkuliah di UGM?,Apakah riwayat alumni kakak kelas mempengaruhi peluang lolos masuk UGM?,Apakah peserta dari sekolah yang belum punya alumni tetap memiliki peluang diterima?,Apakah ketiadaan alumni dari sekolah asal memberi dampak buruk saat seleksi masuk UGM?,Apakah kesempatan lolos UGM tetap sama rata meskipun tidak ada perwakilan alumni sebelumnya?,Benarkah tidak ada alumni di UGM akan otomatis menurunkan peluang saya untuk diterima?,Apakah proses seleksi masuk UGM sangat bergantung pada jumlah alumni di kampus tersebut?,Bagaimana peluang peserta yang berasal dari sekolah menengah yang sama sekali belum pernah meloloskan siswanya ke UGM?,SMA saya baru berdiri tahun lalu dan belum ada satupun siswa yang berkuliah di UGM. Apakah peluang saya diterima otomatis sangat kecil?,Dodi ragu memilih UGM karena angkatan di atasnya tidak ada yang lolos tahun lalu. Apakah hal tersebut bisa mempengaruhi peluang Dodi untuk masuk?,Guru BK melarang saya daftar UGM karena alumni sekolah kami tidak ada yang pernah diterima di sana. Apakah ketiadaan alumni memang membuat kesempatan saya berkurang?,"Rina sangat ingin mendaftar prodi impiannya di UGM, tetapi asal sekolahnya tidak punya rekam jejak alumni di sana. Apakah Rina tetap punya kesempatan yang sama?",Kakak kelas bilang saya akan susah lolos karena sekolah kami tidak punya alumni di kampus bergengsi itu. Apakah faktor alumni memang penentu utama peluang lolos UGM?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Apakah buta warna mempengaruhi pilihan prodi?,"Untuk kondisi buta warna, disarankan memilih prodi yang tidak mensyaratkan buta warna. Informasi lengkap dapat ditanyakan ke Fakultas/Sekolah atau Program Studi tujuan.",Apakah buta warna mempengaruhi pilihan prodi?,Apakah kondisi mata buta warna dapat memengaruhi pilihan program studi di UGM?,Apa anjuran untuk calon mahasiswa UGM yang memiliki kondisi buta warna?,Di mana saya bisa mendapatkan informasi detail soal syarat buta warna untuk suatu prodi?,Apakah seluruh program studi di UGM mensyaratkan mahasiswanya tidak boleh buta warna?,Ke mana saya harus bertanya jika ragu mengenai persyaratan bebas buta warna di prodi incaran?,Bolehkah penderita kelainan buta warna mendaftar untuk kuliah di UGM?,Bagaimana cara memastikan apakah sebuah fakultas di UGM bisa menerima calon mahasiswa yang buta warna?,Apakah ada pembatasan untuk memilih prodi tertentu jika saya buta warna?,Pihak siapa yang perlu saya hubungi terkait ketentuan syarat kesehatan mata dan buta warna di UGM?,Apakah buta warna selalu menjadi halangan mutlak untuk bisa diterima masuk ke UGM?,Saya mengalami buta warna parsial dan sangat berminat masuk fakultas teknik. Apa yang harus saya lakukan sebelum memilih prodi tersebut di UGM?,Edo sadar dirinya buta warna dan khawatir tidak bisa mendaftar masuk prodi favoritnya. Ke pihak mana Edo harus mencari informasi yang pasti mengenai syarat ini?,Lani sangat ingin kuliah di UGM tapi hasil tes kesehatannya menyatakan dia buta warna. Apa saran yang tepat terkait pemilihan prodi untuk Lani?,"Saya baru mengetahui kalau saya punya buta warna saat tes kesehatan mandiri, padahal ingin sekali daftar kedokteran. Bagaimana saya bisa tahu apakah jurusan itu mensyaratkan tidak buta warna?",Anton ingin benar-benar memastikan bahwa prodi tujuan utamanya aman dari syarat tidak boleh buta warna. Ke instansi mana Anton harus bertanya untuk informasi yang akurat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Apakah lulusan SMK bisa masuk UGM?,"Lulusan SMK tetap bisa mendaftar, UGM juga memiliki program Sarjana Terapan D4 yang Praktiknya lebih banyak. Informasi lengkap tersedia di admissions.ugm.ac.id.",Apakah lulusan SMK bisa masuk UGM?,Apakah siswa lulusan SMK diperbolehkan mendaftar ke UGM?,Program apa di UGM yang lebih banyak muatan praktiknya untuk anak SMK?,Di mana saya bisa mencari informasi lengkap terkait pendaftaran UGM?,Apakah program Sarjana Terapan D4 tersedia di UGM?,Bolehkah anak SMK mengambil program D4 di UGM?,Ke mana saya harus mengakses info resmi penerimaan mahasiswa baru UGM?,Apa keunggulan program Sarjana Terapan D4 di UGM?,Apakah pendaftaran UGM terbuka bagi siswa SMK?,Program UGM mana yang cocok jika saya ingin banyak kegiatan praktik?,Bagaimana status penerimaan lulusan SMK di UGM?,Saya baru lulus SMK dan ingin lanjut kuliah yang banyak praktiknya. Program apa di UGM yang pas buat saya?,Andi adalah anak SMK jurusan TKJ. Dia bingung apakah ijazahnya bisa dipakai buat daftar UGM. Apa jawabannya?,Budi ingin tahu detail syarat masuk UGM untuk anak SMK. Website apa yang harus dia buka?,Siti menyukai sistem belajar yang dominan praktik dibanding teori. Pilihan program apa yang ada di UGM untuk Siti?,"Rina ragu mendaftar UGM karena dia berasal dari SMK, bukan SMA. Apakah keraguan Rina beralasan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Apa saja indikator penilaian SNBP?,"Penilaian SNBP didasarkan pada beberapa komponen, yaitu: 
 1. Nilai rapor seluruh mata pelajaran minimal 50% 
 2. Nilai 2 mata pelajaran pendukung, portofolio, dan/atau prestasi maksimal 50%",Apa saja indikator penilaian SNBP?,Apa saja komponen utama dalam penilaian SNBP?,Berapa minimal bobot penilaian dari nilai rapor seluruh mata pelajaran di SNBP?,Berapa maksimal persentase penilaian untuk mata pelajaran pendukung di SNBP?,Apakah portofolio masuk dalam komponen penilaian SNBP?,Berapa batas maksimal bobot nilai prestasi dalam seleksi SNBP?,"Selain nilai rapor keseluruhan, komponen apa lagi yang dinilai di SNBP?",Apakah nilai rapor seluruh mata pelajaran wajib diperhitungkan di SNBP?,Berapa persen bobot maksimal untuk nilai dua mata pelajaran pendukung pada SNBP?,Apa saja hal yang menyusun maksimal 50 persen bobot penilaian SNBP selain nilai rapor keseluruhan?,Bagaimana sistem persentase penilaian pada jalur SNBP?,Raka punya piagam juara nasional dan ingin dipakai untuk SNBP. Berapa maksimal bobot prestasi tersebut dalam penilaiannya?,Dina fokus mengejar nilai bagus untuk 2 mata pelajaran yang relevan dengan jurusannya. Berapa porsi penilaian maksimal untuk kedua nilai tersebut di SNBP?,Sekolah Adi sedang menghitung bobot nilai untuk SNBP siswanya. Berapa persentase minimal yang harus diambil dari rata-rata rapor seluruh mata pelajaran?,Maya bingung membagi fokus antara rata-rata rapor keseluruhan dan portofolio seninya. Bagaimana aturan pembagian bobot maksimal untuk portofolio di SNBP?,Guru BK mengingatkan siswa bahwa nilai rapor keseluruhan sangat penting. Berapa porsi minimal nilai tersebut untuk perhitungan SNBP?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Berapa persen nilai TKA di SNBP?,"Dalam seleksi SNBP, nilai TKA digunakan sebagai validasi terhadap nilai rapor, bukan sebagai komponen dengan persentase tertentu.",Berapa persen nilai TKA di SNBP?,Apa fungsi nilai TKA dalam seleksi SNBP?,Apakah nilai TKA memiliki persentase khusus sebagai komponen SNBP?,Bagaimana peran nilai TKA dalam kelulusan jalur SNBP?,Apakah TKA digunakan untuk memvalidasi nilai rapor di SNBP?,Komponen apa yang divalidasi menggunakan nilai TKA pada SNBP?,Apakah nilai TKA dihitung sebagai persentase tertentu pada jalur SNBP?,Untuk apa sebenarnya nilai TKA itu dipakai di SNBP?,Apakah ada bobot pasti dari nilai TKA saat pendaftaran SNBP?,Apa kegunaan utama TKA dalam penyeleksian rapor SNBP?,Apakah nilai TKA digunakan untuk menambah persentase nilai akhir di SNBP?,Doni mengira nilai TKA punya bobot 30 persen di SNBP. Benarkah anggapan Doni tersebut?,Lia bingung karena nilai TKA-nya tidak ada keterangan persentasenya saat SNBP. Apa sebenarnya fungsi nilai tersebut?,Sekolah menginfokan bahwa TKA hanya sebagai validasi. Apa yang sebenarnya divalidasi oleh nilai TKA di SNBP?,Reza bertanya-tanya apakah nilai TKA-nya akan diakumulasi dengan nilai rapor menggunakan persentase tertentu di SNBP. Bagaimana faktanya?,Sinta khawatir nilai TKA-nya akan dihitung sebagai persentase tetap yang menurunkan skor SNBP-nya. Apakah TKA berfungsi seperti itu?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Apakah faktor alumni berpengaruh di SNBP?,"Dalam seleksi SNBP, faktor alumni tetap ada namun bobotnya kecil.",Apakah faktor alumni berpengaruh di SNBP?,Apakah faktor alumni dipertimbangkan dalam seleksi SNBP?,Seberapa besar pengaruh rekam jejak alumni pada SNBP?,Apakah benar alumni tidak ada pengaruhnya sama sekali di SNBP?,Bagaimana bobot faktor alumni dalam penentuan kelulusan SNBP?,Apakah keberadaan kakak tingkat di kampus memengaruhi peluang lulus SNBP?,Apakah faktor alumni punya porsi yang besar di SNBP?,Apakah penyeleksian SNBP ikut memperhitungkan rekam jejak alumni sekolah?,Seberapa signifikan peran alumni untuk kelolosan SNBP?,Apakah bobot alumni di SNBP tergolong kecil?,Apakah pengaruh alumni sepenuhnya dihilangkan pada sistem SNBP?,Sekolah SMA X mengirim banyak siswanya ke PTN lewat SNBP tahun lalu. Seberapa besar hal ini akan mendongkrak nilai SNBP adik kelasnya tahun ini?,Dika khawatir karena sekolahnya punya rekam jejak alumni yang buruk di kampus tujuannya. Apakah hal ini memengaruhi SNBP Dika dengan bobot yang sangat besar?,Kepala sekolah mengklaim bahwa faktor alumni adalah penentu utama kelulusan SNBP. Benarkah pernyataan tersebut?,Tina mendaftar ke kampus yang banyak alumninya. Apakah ini menjamin bobot penilaiannya di SNBP jadi sangat besar?,Rian sangat mengandalkan rekam jejak kakak kelasnya agar bisa lolos SNBP. Sebenarnya seberapa besar bobot pengaruh kakak kelas tersebut?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Apakah KIP-K mempengaruhi peluang SNBP?,"Dalam seleksi SNBP, penentuan kelulusan berdasarkan rapor dan prestasi, bukan kepemilikan KIP-K.",Apakah KIP-K mempengaruhi peluang SNBP?,Apa dasar utama penentuan kelulusan pada jalur SNBP?,Apakah memiliki KIP-K akan memengaruhi kelulusan SNBP?,Apakah status penerima KIP-K dijadikan pertimbangan di SNBP?,Komponen apa saja yang menentukan lolos atau tidaknya siswa di SNBP?,Apakah rapor lebih penting dari KIP-K dalam seleksi SNBP?,Apakah sertifikat prestasi digunakan untuk penentuan kelulusan SNBP?,Bisakah pendaftar SNBP gagal hanya karena tidak punya KIP-K?,Apakah jalur SNBP menilai kepemilikan KIP Kuliah?,Faktor apa yang dilihat panitia SNBP saat menentukan kelulusan?,Apakah prestasi dan rapor merupakan syarat kelulusan di SNBP?,Budi dari keluarga kurang mampu dan memiliki KIP-K. Apakah KIP-K ini akan membuat Budi lebih mudah diterima di SNBP?,Cici meraih juara 1 OSN tapi tidak punya KIP-K. Apakah ketiadaan KIP-K mengurangi peluangnya di SNBP?,Anton bersaing dengan temannya di SNBP. Temannya punya KIP-K sedangkan Anton punya nilai rapor yang jauh lebih tinggi. Apa yang lebih menentukan kelulusan mereka?,Sarah khawatir karena status KIP-K miliknya masih dalam proses. Apakah kepemilikan KIP-K ini menjadi syarat kelulusan SNBP-nya?,Guru menasihati Rio agar fokus meningkatkan prestasi alih-alih mengkhawatirkan KIP-K untuk SNBP. Mengapa guru berkata demikian?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
